Machine,OS,CPU,RAM_GB,Rust Version,T_ops,Run,solve_time_sec,squarings_sec
LAPTOP-7N2PNSTD,Windows 11,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",15.42,rustc 1.95.0 (59807616e 2026-04-14),29463600,1,33.7369,873334.69
LAPTOP-7N2PNSTD,Windows 11,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",15.42,rustc 1.95.0 (59807616e 2026-04-14),29463600,2,31.443,937047.53
LAPTOP-7N2PNSTD,Windows 11,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",15.42,rustc 1.95.0 (59807616e 2026-04-14),29463600,3,31.1865,944755.38
LAPTOP-7N2PNSTD,Windows 11,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",15.42,rustc 1.95.0 (59807616e 2026-04-14),29463600,4,30.7793,957252.91
LAPTOP-7N2PNSTD,Windows 11,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",15.42,rustc 1.95.0 (59807616e 2026-04-14),29463600,5,31.0225,949748.58
LAPTOP-7N2PNSTD,Windows 11,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",15.42,rustc 1.95.0 (59807616e 2026-04-14),29463600,6,30.9172,952984.14
LAPTOP-7N2PNSTD,Windows 11,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",15.42,rustc 1.95.0 (59807616e 2026-04-14),29463600,7,30.7533,958061.59
LAPTOP-7N2PNSTD,Windows 11,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",15.42,rustc 1.95.0 (59807616e 2026-04-14),29463600,8,31.0599,948605.99
LAPTOP-7N2PNSTD,Windows 11,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",15.42,rustc 1.95.0 (59807616e 2026-04-14),29463600,9,31.0597,948610.63
LAPTOP-7N2PNSTD,Windows 11,"AMD64 Family 23 Model 96 Stepping 1, AuthenticAMD",15.42,rustc 1.95.0 (59807616e 2026-04-14),29463600,10,30.8544,954925.16
LAPTOP-JD5CAV5S,Windows 11,"Intel64 Family 6 Model 154 Stepping 4, GenuineIntel",15.68,rustc 1.98.1 (48a229cea 2026-09-01),29463600,1,45.9823,640759.58
LAPTOP-JD5CAV5S,Windows 11,"Intel64 Family 6 Model 154 Stepping 4, GenuineIntel",15.68,rustc 1.98.1 (48a229cea 2026-09-01),29463600,2,42.9801,685517.08
LAPTOP-JD5CAV5S,Windows 11,"Intel64 Family 6 Model 154 Stepping 4, GenuineIntel",15.68,rustc 1.98.1 (48a229cea 2026-09-01),29463600,3,44.88,656497.21
